tid,arrived_time,cpu_time,resource
1,0,7,62
2,2,6,64 2 116 125 62
3,6,3,127
4,9,2,51 102 54 122
5,11,10,115 127
6,11,2,49 114 118 102 63
7,14,7,87 73 26 106 30
8,15,5,48 53 70 42 29
9,17,5,112 2 60 92
10,21,10,42 27
11,22,7,32 101 90 26
12,26,7,18 22 60 45 31
13,27,6,107
14,31,2,48 6 41 77 94
15,34,8,115
16,38,3,50 68 116 57 31
17,40,2,16 67 42 11 107
18,42,3,67 55 103 30
19,44,9,68 88 94
20,48,3,111 127
21,52,7,50 25
22,54,7,113 51 74 124
23,57,2,1 122 127
24,57,3,16 49 53
25,60,5,96 78
26,60,9,67 101 123 94 31
27,64,7,37
28,67,4,16 59 93 29
29,69,6,18 101 74 95
30,71,5,67 122 106 77 127
31,74,5,123 125
32,76,3,68
33,76,10,14
34,78,10,68 37 75
35,78,9,61
36,81,8,108
37,82,7,82 25 57
38,84,8,81 59 79
39,88,7,113 65 67 116
40,89,1,16 3 24 14 30
41,93,7,37
42,94,2,46
43,98,5,34 92 61
44,99,6,19 119 29
45,100,4,1
46,104,10,53 124
47,105,4,30
48,107,6,80 127
49,111,9,54 39 11 127
50,115,8,115
51,116,7,97 19 107 126
52,117,9,97 35 70 71
53,119,6,121 109
54,122,10,16
55,122,5,61 111
56,124,2,35
57,128,7,66 9 76 63 111
58,128,4,9
59,129,9,115 4 119
60,129,9,10 124
61,131,3,48 121 26
62,134,1,7
63,134,2,68 21 92
64,138,3,33 34 69 110
65,140,5,52 106 75 28 77
66,140,1,59 43
67,141,7,86 118 14
68,143,2,117 9 125
69,147,3,81 123 13
70,151,8,53 38 63
71,153,9,115 43 44 13
72,156,6,116 72 105 125
73,156,3,67 71 72 60 46
74,159,3,51 23 88 42 122
75,162,5,92 109 78
76,163,3,39 23 63 47
77,167,5,48 84 7 43 110
78,171,2,34 70 77 109
79,171,7,86 119
80,172,6,82 99 38 72 121
81,175,8,19 6
82,177,7,64 12 62
83,181,2,114 83 118 61
84,185,7,73
85,187,3,119 14
86,189,3,115 108
87,190,8,54 87 88
88,194,8,34 67 85
89,194,7,53 57
90,195,5,16 35 29
91,197,8,8 58
92,199,3,110 63
93,203,8,114 66 23
94,207,8,14
95,208,9,103 74
96,208,9,48 6 70 95
97,209,9,38 122 90 29
98,209,10,16 64 21 124
99,209,9,3 8 126 95
100,211,3,105 59
101,215,9,86
102,219,7,49 118 59 14 95
103,219,8,81 9 41 59
104,219,6,32 98
105,219,10,97 18 124
106,221,3,33 106 44 111
107,223,3,112 96 42 78
108,224,3,80 113 72 92 94
109,227,3,82 50 54 89 14
110,230,10,35
111,231,10,18 71
112,232,4,17 118 27 46
113,232,10,52 58
114,233,10,101 71 40 95
115,237,6,52 86 39 24 79
116,239,9,85 91
117,242,1,22 61 63
118,244,6,57 42
119,247,4,50 2 70
120,251,6,10 27
121,252,6,64 127
122,253,4,49 6 13
123,257,8,113 5 12
124,257,3,107
125,259,5,117 37 70 41 121
126,261,10,67 6 104 106 109
127,265,8,95
128,268,5,117 104 25
129,272,9,23
130,272,7,82 2 84 86
131,276,1,90 74 109
132,279,2,48 116 36 45
133,283,2,3 83 100 55 75
134,283,1,2 73 76 30 47
135,286,8,36 25 43 124
136,289,1,99 67 123
137,292,8,81 18 50 73 92
138,296,9,16 97
139,297,8,19
140,297,9,2 5 69 14
141,299,4,101 6 123 110 47
142,303,6,82 83 71 87
143,306,5,34 107 59
144,307,6,1 71 45
145,308,7,41
146,312,6,113 73 59 111
147,313,5,106 27
148,315,7,113 39 8 122 107
149,319,6,17 55 78
150,319,10,72 26 108
151,320,6,37
152,324,5,82 98 100 76 110
153,327,7,121 122
154,329,1,99 9
155,329,9,102 86 42 94 63
156,329,2,69 123
157,331,7,64 23 27
158,334,1,89 43 44 126
159,335,5,6 73 125 78
160,339,7,36 58 90 75
161,339,5,116 9 10 42
162,340,1,67 83 52 43 15
163,340,9,2 15
164,341,1,36 86 8
165,343,8,37 71 41 76
166,345,1,100 36 52
167,348,9,39 107
168,348,1,96 122 107 124 62
